id,price,room,district,subway,subway distance (min),square footage,livable space,kitchen space,floor,number of floors,construction year,parking,apartment type,house type,renovation,bathroom,balcony,elevator
292940866,4950000.0,1,Приморский,Комендантский проспект,9,25.1,17.1,3.0,7,24,2023,,Вторичка,,Косметический,1.0,1,2.0
294757607,4950000.0,1,Приморский,Комендантский проспект,8,20.9,14.5,5.0,16,24,2020,Многоуровневая,Вторичка,Монолитно-кирпичный,Евроремонт,1.0,1,4.0
294454874,5000000.0,3,Красносельский,Проспект Ветеранов,11,52.8,38.5,6.2,1,3,1953,,Вторичка,Кирпичный,Без,1.0,,
294562955,5000000.0,1,Приморский,Комендантский проспект,8,20.4,14.2,,3,13,2021,,Вторичка,Монолитный,Евроремонт,1.0,1,2.0
286441305,5000000.0,1,Приморский,Комендантский проспект,8,21.1,15.0,,22,24,2020,Наземная,Вторичка,Монолитно-кирпичный,Евроремонт,1.0,1,
292876549,5000000.0,1,Фрунзенский,Международная,17,28.0,15.0,6.5,1,9,,Наземная,Вторичка,Блочный,Косметический,1.0,,1.0
293261939,5000000.0,1,Приморский,Беговая,8,23.6,16.1,,2,12,2024,,Новостройка,Монолитный,,1.0,1,
292730365,5000000.0,1,Приморский,Озерки,18,24.1,16.9,,3,12,2024,Подземная,Новостройка,Монолитный,,1.0,1,2.0
288630356,5000000.0,2,Красносельский,Проспект Ветеранов,23,43.9,27.9,5.3,5,5,1964,,Вторичка,Кирпичный,Косметический,1.0,1,
294548723,5076360.0,1,Красносельский,Автово,7,21.51,10.0,5.0,2,23,2025,Подземная,Новостройка,Монолитный,,1.0,,2.0
294268779,5095000.0,1,Красносельский,Автово,17,24.0,14.0,5.0,2,4,2022,,Вторичка,Монолитный,Евроремонт,1.0,1,2.0
294224601,5100000.0,1,Приморский,Комендантский проспект,8,21.1,,4.0,9,13,2021,,Вторичка,Монолитный,Евроремонт,1.0,1,2.0
293171884,5100000.0,1,Приморский,Комендантский проспект,8,22.0,15.0,5.0,20,24,2020,,Вторичка,Монолитно-кирпичный,Дизайнерский,1.0,1,4.0
293306039,5100000.0,1,Московский,Купчино,3,23.7,16.0,,13,21,2021,Наземная,Вторичка,Монолитно-кирпичный,Евроремонт,1.0,,3.0
292171305,5100000.0,1,Приморский,Комендантский проспект,7,21.2,8.0,7.2,13,14,2022,Подземная,Вторичка,,Евроремонт,1.0,1,
293983392,5100000.0,1,Выборгский,Парнас,4,24.5,20.0,3.0,22,29,2020,Наземная,Вторичка,Кирпичный,Дизайнерский,1.0,1,4.0
293178614,5100000.0,1,Красногвардейский,Гражданский проспект,12,33.0,11.0,14.0,4,25,2020,,Вторичка,Панельный,Евроремонт,1.0,1,4.0
292990222,5154100.0,1,Пушкинский,Купчино,7,27.86,10.6,9.1,4,12,2025,,Новостройка,Монолитный,,,,
286950269,5178880.0,1,Московский,Московская,12,19.04,14.0,,8,24,2026,Подземная,Новостройка,Монолитно-кирпичный,,,,
286119683,5150000.0,1,Приморский,Комендантский проспект,7,26.01,17.5,,7,13,2023,,Новостройка,Монолитно-кирпичный,,,1,
294651182,5194890.0,1,Приморский,Беговая,13,26.37,17.3,,3,23,2025,Отдельная,Новостройка,Монолитный,,,,4.0
292029238,5190000.0,1,Кировский,Автово,10,22.4,,,10,12,2022,,Вторичка,Монолитно-кирпичный,Евроремонт,1.0,,4.0
285036606,5150000.0,1,Василеостровский,Василеостровская,19,17.0,,,1,4,1835,Наземная,Вторичка,Кирпичный,Дизайнерский,1.0,,
293955964,5200000.0,1,Фрунзенский,Международная,15,29.0,15.2,6.6,2,9,1970,Наземная,Вторичка,Панельный,Косметический,1.0,,1.0
293126646,5200000.0,1,Приморский,Комендантский проспект,8,25.0,18.0,,16,21,2018,,Вторичка,,Дизайнерский,1.0,1,1.0
293206714,5229593.0,1,Невский,Елизаровская,17,34.87,,,2,17,2026,"Подземная,",Новостройка,Монолитный,,,,2.0
286241140,5200000.0,2,Пушкинский,Купчино,29,49.0,27.3,5.8,3,9,,,Вторичка,Панельный,Без,1.0,1,
293872949,5200000.0,1,Невский,Ломоносовская,7,26.74,,,15,15,2023,,Новостройка,Кирпичный,,1.0,1,
294495909,5250000.0,1,Красносельский,Проспект Ветеранов,9,31.7,17.7,6.3,2,9,1970,Наземная,Вторичка,Панельный,Косметический,1.0,,1.0
294487277,5250090.0,1,Красносельский,Проспект Ветеранов,16,25.44,18.4,,1,4,2024,Гостевая,Новостройка,Монолитно-кирпичный,,,1,
288378554,5291863.0,1,Пушкинский,Звездная,10,30.7,9.9,11.3,8,12,2025,Подземная,Новостройка,Монолитный,,1.0,1,
293828757,5325567.0,1,Приморский,Комендантский проспект,6,24.1,,,4,10,2023,,Новостройка,Монолитный,,1.0,,1.0
294688810,5300000.0,1,Калининский,Гражданский проспект,14,32.0,17.7,6.2,4,9,1975,Наземная,Вторичка,Панельный,Без,1.0,,1.0
292925224,5300000.0,1,Пушкинский,Купчино,23,35.1,14.6,10.4,5,6,2011,,Вторичка,Монолитный,Косметический,1.0,1,1.0
288805759,5300000.0,1,Калининский,Академическая,19,32.0,17.0,6.0,3,5,1966,Наземная,Вторичка,,Косметический,1.0,1,
294628096,5330000.0,2,Колпинский,Шушары,19,46.9,27.7,6.9,7,9,1976,Наземная,Вторичка,Монолитный,Без,1.0,,1.0
294399606,5306000.0,1,Выборгский,Выборгская,3,16.46,,,2,6,1917,Наземная,Вторичка,Кирпичный,,,,1.0
294338029,5400249.0,1,Пушкинский,Шушары,18,29.48,14.3,8.4,1,4,2025,,Новостройка,Монолитно-кирпичный,,,1,
294375291,5400000.0,1,Приморский,Комендантский проспект,7,24.9,14.9,5.0,5,21,2018,,Вторичка,Монолитный,Косметический,1.0,1,1.0
268892750,5400000.0,1,Московский,Проспект Славы,4,31.0,17.0,6.0,4,5,,Наземная,Вторичка,Блочный,Косметический,1.0,1,
286951200,5462800.0,2,Пушкинский,Купчино,11,39.02,22.9,5.1,2,12,2026,Гостевая,Новостройка,Монолитный,,,,
290704779,5450000.0,1,Пушкинский,,,40.0,17.6,11.3,5,5,,Наземная,Вторичка,Кирпичный,Косметический,1.0,,
290545259,5450000.0,1,Приморский,Беговая,20,33.7,12.8,10.2,7,17,2017,,Вторичка,Монолитный,Косметический,1.0,1,2.0
293719739,5550000.0,1,Василеостровский,Василеостровская,13,26.0,16.0,,13,18,2023,Подземная,Вторичка,Монолитный,Без,1.0,,2.0
293513341,5500000.0,1,Василеостровский,Приморская,9,25.0,15.0,,15,18,2022,,Вторичка,Монолитно-кирпичный,Без,,,
288378605,5551392.0,1,Приморский,Проспект Просвещения,5,23.6,11.1,4.6,4,25,2024,Подземная,Новостройка,"Панельный,",,1.0,1,1.0
289876196,5500000.0,1,Приморский,Комендантский проспект,8,24.9,17.9,2.0,12,24,2021,,Вторичка,,Косметический,1.0,1,3.0
292456776,5500000.0,1,Невский,Ломоносовская,9,34.5,14.4,8.7,21,24,2017,,Вторичка,,Косметический,1.0,1,2.0
290804902,5500000.0,1,Приморский,Комендантский проспект,9,25.08,18.2,,22,25,2023,,Новостройка,Монолитно-кирпичный,,,1,
290875881,5544660.0,1,Пушкинский,Купчино,20,27.2,13.0,5.1,2,4,2025,Гостевая,Новостройка,Монолитно-кирпичный,,1.0,1,
286428963,5589945.0,1,Невский,,,24.34,15.8,,3,17,2025,Подземная,Новостройка,Монолитный,,1.0,1,2.0
292437729,5500000.0,1,Пушкинский,Купчино,9,28.2,9.0,11.0,4,11,2022,,Вторичка,,Косметический,1.0,1,2.0
285292728,5594000.0,1,Адмиралтейский,Нарвская,12,24.03,,,1,4,,Наземная,Вторичка,Кирпичный,Косметический,1.0,,
289133460,5500000.0,1,Московский,Московская,18,29.28,21.6,,2,5,2024,,Новостройка,,,,1,
279371683,5550000.0,1,Приморский,Старая Деревня,10,21.1,14.1,2.0,8,12,2021,Наземная,Вторичка,Монолитный,Евроремонт,1.0,1,3.0
270168275,5500000.0,1,Кировский,Проспект Ветеранов,15,31.1,18.0,6.2,2,5,1969,,Вторичка,Панельный,Косметический,1.0,1,
294594507,5500000.0,1,Приморский,Комендантский проспект,9,26.6,14.7,,5,12,2022,Подземная,Вторичка,Кирпичный,Без,1.0,1,2.0
290099281,5600000.0,1,Невский,Обухово,11,31.2,15.3,8.9,5,25,2015,Многоуровневая,Вторичка,,Косметический,1.0,1,2.0
